文本行,单复数结果,特指泛指结果,名词短语是否判断正确?,单复数是否判断正确?,特指泛指是否判断正确?
* 实物 证据 * 这么 少 这 点 也 很 奇怪,单数,泛指,T,T,F
不是 有 * 枪击 残留物 * 嘛,单数,特指,T,T,T
是 但 * 法医 鉴定 * 呢,单数,特指,T,T,T
* DNA 检测 呢 *,单数,特指,T,T,T
怎么 * 你们 俩 改 主意 了 * ?,复数,特指,F,T,T
怎么 你们 俩 改 * 主意 * 了 ?,复数,特指,T,T,T
但 阵营 变了 这 也 算 * 进展 *,单数,泛指,T,T,T
* 校警 * 我们 进来 了,复数,泛指,T,T,T
有 * 发现 * 吗,单数,泛指,T,F,T
乔什3P 之后 下楼 拿 * 啤酒 *,单数,泛指,T,T,T
穿 的 是 * 衬衫 *,复数,特指,T,T,T
比安 卡 在 * 卫生间 * 里 听到 枪声,单数,特指,T,T,T
比安 卡 在 卫生间 里 听到 * 枪声 *,单数,特指,T,T,T
* 所有 人 * 急忙 跑 上去 几 秒 后 神奇 般 地 乔什 穿上 了 皮夹克,单数,泛指,T,F,T
或者 他 用 夹克 包 着手 挡住 * 枪击 残留物 *,单数,特指,T,T,T
你 开始 写 * 小说 * 了 ?,单数,泛指,T,T,T
要 弄清 真相 * 只有 一 个 办法 *,单数,特指,T,T,T
对 * 夹克 * 进行 检测,单数,泛指,T,T,T
哪 所 * 监狱 *,单数,泛指,T,T,T
* 杜 怀特 惩教 中心 *,单数,泛指,T,T,F
这 件 * 案子 * 我们 胜算 很大,单数,泛指,F,T,F
只是 * 学校 的 朋友 * 他们 不 来 探访,复数,特指,T,T,T
换 * 我 室友 * 坐牢 我 估计 我 也 不 会 去 探访,单数,特指,T,T,T
* 45年 *,复数,特指,T,T,F
那 是 * 最 坏 情况 *,单数,泛指,T,T,T
所谓 * 沉默 克己 *,单数,特指,F,T,F
谁 知道 我 爱 * 牛仔 * 呢,复数,泛指,T,T,T
也许 这 是 * 我们 骨子 * 里 的 东西,单数,特指,F,F,T
* 美国人 * 就是 爱 牛仔,单数,泛指,T,T,T
* 牛仔 的 沉默 * 其实 挺 自私 的,单数,特指,T,T,T
把 谈话 的 压力 全 压在 * 别人 头上 * 了,单数,泛指,T,T,T
把 * 谈话 * 的 压力 全 压在 别人 头上 了,单数,特指,T,T,T
你 正在 与 我 共进 * 晚餐 *,单数,泛指,T,T,T
我 认为 她 是 * 恶魔 的 化身 *,单数,特指,T,T,T
你 怎么 能 支持 非法 * 堕胎 * 呢,复数,泛指,F,T,T
* 谋杀案 * 的 ...,单数,特指,T,T,T
我 想 留下 但 * 脑海 中 三 代 民主 先驱 * 在 呐喊 抗议,复数,特指,T,T,T
有 这么 多 * 代呀 *,复数,泛指,F,T,T
他们 在 * 乔什 的 夹克 * 上 发现 了 枪击 残留物,单数,特指,T,T,T
他们 在 乔什 的 夹克 上 发现 了 * 枪击 残留物 *,单数,泛指,T,T,T
* 他的 * . . . 你 在 哪儿,复数,特指,T,T,T
* 警局 *,单数,泛指,T,T,T
听 好了 在 那 上面 还 有 * 其它 的 发现 *,单数,泛指,T,F,T
* 海瑟 的 血 *,单数,泛指,T,T,F
好吧 我 得去 申请 个 * 诉讼 延期 *,单数,泛指,T,T,T
一 有 什么 情况 就 给 我 打 * 电话 *,单数,泛指,T,T,T
一 有 * 什么 情况 * 就 给 我 打 电话,单数,泛指,T,T,T
没 起 * 作用 *,单数,泛指,T,T,T
我俩 目前 * 处境 * 尴尬,单数,泛指,T,T,T
当 我 在 * 白天 * 看 着 你 时 我 想 知道 你是 怎么 想 的,单数,特指,T,T,T
在 * 乔治城 大学 * 若是 我们 在一起 而 不 是 和 彼得 最 多 也 就 在一起 一 周 吧,单数,特指,T,T,T
* 9 毫米 自动 6 发 手枪 *,单数,特指,T,T,T
* 极轻微 的 扣动 都会 * 走火,单数,特指,F,T,T
你 说 这 是 * 意外 * 走火 ?,单数,泛指,F,T,T
* 控方 * 是 正确 的,单数,特指,T,T,T
* 枪击 * 的确 来自 3 呎 之外,单数,特指,T,T,T
枪击 的确 来自 * 3 呎 * 之外,复数,特指,T,T,T
