文本行,名词短语是否判断正确?,单复数判断,特指泛指判断
* 实物 证据 * 这么 少 这 点 也 很 奇怪,正确,单数,泛指
不是 有 * 枪击 残留物 * 嘛,正确,单数,泛指
是 但 * 法医 鉴定 * 呢,正确,单数,泛指
* DNA 检测 呢 *,不正确,单数,泛指
怎么 * 你们 俩 改 主意 了 * ?,不正确,单数,泛指
怎么 你们 俩 改 * 主意 * 了 ?,正确,单数,特指
但 阵营 变了 这 也 算 * 进展 *,正确,单数,泛指
* 校警 * 我们 进来 了,正确,单数,特指
有 * 发现 * 吗,正确,单数,泛指
乔什3P 之后 下楼 拿 * 啤酒 *,正确,单数,泛指
穿 的 是 * 衬衫 *,正确,单数,泛指
比安 卡 在 * 卫生间 * 里 听到 枪声,正确,单数,特指
比安 卡 在 卫生间 里 听到 * 枪声 *,正确,单数,泛指
* 所有 人 * 急忙 跑 上去 几 秒 后 神奇 般 地 乔什 穿上 了 皮夹克,正确,单数,泛指
或者 他 用 夹克 包 着手 挡住 * 枪击 残留物 *,正确,单数,泛指
你 开始 写 * 小说 * 了 ?,正确,单数,泛指
要 弄清 真相 * 只有 一 个 办法 *,不正确,单数,特指
对 * 夹克 * 进行 检测,正确,单数,特指
哪 所 * 监狱 *,正确,单数,泛指
* 杜 怀特 惩教 中心 *,正确,单数,特指
这 件 * 案子 * 我们 胜算 很大,正确,单数,特指
只是 * 学校 的 朋友 * 他们 不 来 探访,正确,复数,特指
换 * 我 室友 * 坐牢 我 估计 我 也 不 会 去 探访,正确,单数,特指
* 45年 *,正确,单数,泛指
那 是 * 最 坏 情况 *,正确,单数,特指
所谓 * 沉默 克己 *,不正确,单数,特指
谁 知道 我 爱 * 牛仔 * 呢,正确,单数,特指
也许 这 是 * 我们 骨子 * 里 的 东西,正确,单数,特指
* 美国人 * 就是 爱 牛仔,正确,复数,泛指
* 牛仔 的 沉默 * 其实 挺 自私 的,正确,单数,特指
把 谈话 的 压力 全 压在 * 别人 头上 * 了,不正确,复数,泛指
把 * 谈话 * 的 压力 全 压在 别人 头上 了,正确,单数,泛指
你 正在 与 我 共进 * 晚餐 *,正确,单数,泛指
我 认为 她 是 * 恶魔 的 化身 *,正确,单数,泛指
你 怎么 能 支持 非法 * 堕胎 * 呢,正确,单数,泛指
* 谋杀案 * 的 ...,正确,单数,特指
我 想 留下 但 * 脑海 中 三 代 民主 先驱 * 在 呐喊 抗议,不正确,单数,特指
有 这么 多 * 代呀 *,不正确,复数,泛指
他们 在 * 乔什 的 夹克 * 上 发现 了 枪击 残留物,正确,单数,特指
他们 在 乔什 的 夹克 上 发现 了 * 枪击 残留物 *,正确,单数,泛指
* 他的 * . . . 你 在 哪儿,不正确,单数,泛指
* 警局 *,正确,单数,泛指
听 好了 在 那 上面 还 有 * 其它 的 发现 *,不正确,单数,泛指
* 海瑟 的 血 *,正确,单数,特指
好吧 我 得去 申请 个 * 诉讼 延期 *,正确,单数,泛指
一 有 什么 情况 就 给 我 打 * 电话 *,正确,单数,泛指
一 有 * 什么 情况 * 就 给 我 打 电话,不正确,单数,泛指
