文本行,单复数结果,特指泛指结果,名词短语是否判断正确?,单复数是否判断正确?,特指泛指是否判断正确?
* 玛丽 去修琴 的 时候 * 肯定 发现 事 有 蹊跷 就 成 了 绊脚石,单数,泛指,T,T,T
玛丽 去修琴 的 时候 肯定 发现 事 有 * 蹊跷 * 就 成 了 绊脚石,单数,泛指,T,F,T
好让 斯博 涉足 * 科技 领域 *,单数,特指,T,T,T
他 知道 * 所有 参加 展会 的 人 *,单数,泛指,T,F,T
他 过 不了 * 海关 *,复数,泛指,T,F,T
所以 他 把 弦藏 进 * 小提琴 * 混过 检查 然后 他 再 单独 过 安检 聪明,单数,特指,T,T,T
* 唯一 的 问题 * 是 弦现在 在哪,单数,特指,T,T,T
唯一 的 问题 是 * 弦现在 * 在哪,单数,特指,F,T,T
这 * 姑娘 * 真 聪明,单数,泛指,T,T,T
随便 想想 就 知道 事 有 * 猫腻 *,单数,泛指,T,T,T
* 交响乐 * 演出 后 你 很 生气 我 就 知道 你 没 如愿以偿,单数,特指,T,T,T
你 来 这 是 有 * 原因 * 的 吧,单数,泛指,T,F,T
发展 成 * 诚信 搭档 * 的 关系,单数,泛指,T,F,T
只是 一 个 身价 数十亿 的 * 产业 * 的,单数,泛指,T,T,T
* 科技 * 就 是 未来,单数,泛指,T,F,T
科技 就 是 * 未来 *,单数,特指,T,F,F
看来 莎拉 很 怀念 * 她 本行 * 啊,单数,特指,T,T,T
鸳鸯 大 * 盗么 *,单数,泛指,F,F,T
她 把 * 搭档 关系 * 说 得 真 诱人,单数,特指,T,F,T
你 是 我 所见 过 的 * 为数 * 不 多 的,复数,特指,T,T,F
只是 本来 绝无 可能 的 * 事 *,单数,泛指,T,T,T
只是 需要 点 * 时间 * 来 适应,复数,泛指,T,T,F
怎么 改 * 主意 * 了,单数,泛指,T,T,T
想想 我们 在 往 * 同 一 个 方向 * 前进,单数,特指,T,T,T
却 不 在 * 同 一 个 轨道 *,单数,特指,T,T,T
她 在 说谎 * 套 他 话 * 呢,单数,泛指,F,T,T
你 看 * 卡夫瑞 时候 * 的 一半 我 可能 会 上当,单数,泛指,F,T,F
* 联调 局 * 放下 武器,复数,泛指,T,F,F
放下 * 武器 * 我们 可以 谈谈,单数,特指,T,T,T
