文本行,名词短语是否判断正确?,单复数是否判断正确?,特指泛指是否判断正确?
* 玛丽 去修琴 的 时候 * 肯定 发现 事 有 蹊跷 就 成 了 绊脚石,正确,单数,特指
玛丽 去修琴 的 时候 肯定 发现 事 有 * 蹊跷 * 就 成 了 绊脚石,正确,单数,泛指
好让 斯博 涉足 * 科技 领域 *,正确,单数,泛指
他 知道 * 所有 参加 展会 的 人 *,正确,复数,特指
他 过 不了 * 海关 *,正确,单数,泛指
所以 他 把 弦藏 进 * 小提琴 * 混过 检查 然后 他 再 单独 过 安检 聪明,正确,单数,泛指
* 唯一 的 问题 * 是 弦现在 在哪,正确,单数,特指
唯一 的 问题 是 * 弦现在 * 在哪,不正确,单数,特指
这 * 姑娘 * 真 聪明,不正确,单数,特指
随便 想想 就 知道 事 有 * 猫腻 *,正确,单数,泛指
* 交响乐 * 演出 后 你 很 生气 我 就 知道 你 没 如愿以偿,正确,单数,特指
你 来 这 是 有 * 原因 * 的 吧,正确,单数,泛指
发展 成 * 诚信 搭档 * 的 关系,不正确,单数,泛指
只是 一 个 身价 数十亿 的 * 产业 * 的,不正确,单数,特指
* 科技 * 就 是 未来,正确,单数,泛指
科技 就 是 * 未来 *,正确,单数,泛指
看来 莎拉 很 怀念 * 她 本行 * 啊,正确,单数,特指
鸳鸯 大 * 盗么 *,不正确,复数,泛指
她 把 * 搭档 关系 * 说 得 真 诱人,正确,单数,特指
你 是 我 所见 过 的 * 为数 * 不 多 的,不正确,复数,泛指
只是 本来 绝无 可能 的 * 事 *,不正确,单数,特指
只是 需要 点 * 时间 * 来 适应,正确,单数,泛指
我 知道 * 你 的 礼物 * 我 一定 喜欢,正确,单数,特指
你 总是 忙着 给 * 别人 * 策划 晚宴 也 该 别人 为 你 准备 一 次 了,正确,复数,泛指
你 总是 忙着 给 别人 策划 晚宴 也 该 * 别人 * 为 你 准备 一 次 了,正确,单数,泛指
你 总是 忙着 给 别人 策划 * 晚宴 * 也 该 别人 为 你 准备 一 次 了,正确,复数,泛指
亲爱 的 这 是 * 我 的 礼物 *,正确,单数,特指
* 亲爱 的 这 * 是 我 的 礼物,不正确,单数,特指
* 一 位 智者 * 说过 ` ` 保留 成长 的 痕迹 是 最 美好 的 ' ',正确,单数,泛指
一 位 * 智者 * 说过 ` ` 保留 成长 的 痕迹 是 最 美好 的 ' ',不正确,单数,泛指
从 * 我 第一 个 家 *,正确,单数,特指
到 * 第二 个 家 *,正确,单数,特指
我们 活着 就是 为了 让 * 女儿 * 高兴,正确,单数,特指
那 你 会 赞成 这 次 的 * 情况 * 非同 寻常 吧,正确,单数,泛指
四 年 刑的 刑期 还有 * 三 个 月 * 就 满了,正确,复数,泛指
这 是 * 联邦 调查局 的 博尔克 探员 *,正确,单数,特指
这 是 * 联邦 调查局 * 的 博尔克 探员,不正确,单数,特指
所有 人 中 你 该 最 了解 * 尼尔·卡夫瑞 的 能耐 *,正确,单数,特指
* 所有 人 * 中 你 该 最 了解 尼尔·卡夫瑞 的 能耐,正确,复数,泛指
我 知道 的 是 我 花了 * 三 年 时间 * 追捕 他,正确,复数,特指
而 你 却 让 他 从 * 大门 * 堂而皇之 的 走了 出去,正确,单数,特指
* 先生们 * 我 是 不 是 该 提醒 你们 一下,正确,复数,特指
卡夫瑞 已经 逃走 * 4 小时 * 了,正确,复数,泛指
卡夫瑞 扮成 警卫 从 * E区 人员 的 浴室 * 出来,正确,单数,特指
卡夫瑞 扮成 * 警卫 * 从 E区 人员 的 浴室 出来,正确,单数,泛指
他 哪 来 的 * 制服 *,正确,单数,特指
* 网上 的 制服 * 定做 公司,不正确,单数,泛指
他 有 * 信用卡 *,正确,单数,泛指
他 用 了 * 我 太太 的 美国 运通 卡 *,正确,单数,特指
这 次 不 只 是 为了 * 失去 的 挚爱 * 这么 简单,正确,单数,特指
你 是 说 他 从 * 一 间 最高 戒备 的 监狱 * 越狱 完全 明白 会 被 你 逮住,正确,单数,特指
很 有 * 道理 *,正确,单数,泛指
尼尔 为 自己 讨 来 了 * 四 年 的 追加 刑期 * 为了 什么,正确,复数,特指
尼尔 为 自己 讨 来 了 四 年 的 * 追加 刑期 * 为了 什么,不正确,复数,特指
` ` 为了 * 什么 ' ' *,不正确,单数,泛指
明白 我 在 * FBI 的 监管 * 下 被 释放,正确,单数,特指
我 说 了 * 那个 瓶子 * 意味 着 再见,正确,单数,特指
我 说 了 那个 瓶子 意味 着 * 再见 *,正确,单数,泛指
只要 抓住 * 荷兰人 * 就 能 正式 录用 你,正确,单数,特指
* 你 的 新 家 *,正确,单数,特指
给 你 * 蛇 * 眼 小弟 &#91 ; ` ` 特种 部队 ' ' 里 的 角色 &#93 ;,不正确,单数,泛指
给 你 蛇 * 眼 小弟 * &#91 ; ` ` 特种 部队 ' ' 里 的 角色 &#93 ;,不正确,单数,特指
你 在 监狱 里 的 月 开销 是 每 * 月 * 700 美元,正确,单数,泛指
那 * 衣服 * 呢 我 只有 身上 这 一 套 衣服,正确,单数,泛指
反正 你 喜欢 旧 * 货铺 *,不正确,单数,泛指
在 * 监狱 * 里 可 看 不 到 女人 吧 当然 看 不 到,正确,单数,特指
所以 你 只 能 在 * 方圆 两 英里 范围 * 内 活动,正确,复数,特指
* 来 你 的 作业 *,不正确,单数,特指
记住 只 有 * 两 英 * 里,不正确,复数,泛指
* 明早 7点 * 见,正确,单数,特指
我 来捐 * 这些 东西 *,正确,复数,特指
一些 * 男士 西装 *,不正确,复数,特指
